Titulo,Fuente,Popularidad,URL
openclaw,GitHub,376106,https://github.com/openclaw/openclaw
n8n,GitHub,190674,https://github.com/n8n-io/n8n
AutoGPT,GitHub,184708,https://github.com/Significant-Gravitas/AutoGPT
hermes-agent,GitHub,176257,https://github.com/NousResearch/hermes-agent
stable-diffusion-webui,GitHub,163388,https://github.com/AUTOMATIC1111/stable-diffusion-webui
prompts.chat,GitHub,163167,https://github.com/f/prompts.chat
JavaGuide,GitHub,156040,https://github.com/Snailclimb/JavaGuide
langflow,GitHub,149053,https://github.com/langflow-ai/langflow
dify,GitHub,143466,https://github.com/langgenius/dify
open-webui,GitHub,139600,https://github.com/open-webui/open-webui
system-prompts-and-models-of-ai-tools,GitHub,138687,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
langchain,GitHub,138266,https://github.com/langchain-ai/langchain
firecrawl,GitHub,127398,https://github.com/firecrawl/firecrawl
ComfyUI,GitHub,115331,https://github.com/Comfy-Org/ComfyUI
awesome-llm-apps,GitHub,112541,https://github.com/Shubhamsaboo/awesome-llm-apps
